what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791137809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327791154065
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1327791175313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327791185237
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327791188279
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327791193115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327791200806
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327791202663
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327791203771
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327791207499
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327791211539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791215691
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791229939
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327791245165
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327791249190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327791259191
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327791267771
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327791280033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327791287289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327791292374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791296571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791299270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1327791299286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327791299707
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327791301969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791307884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791325737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791337433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791340478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791346611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791347750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791350749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791355886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791355886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327791362257
