what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1329404667263
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1329404677636
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1329404681109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329404700913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404707724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404709391
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1329404709413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329404713296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329404716304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329404717491
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329404717898
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329404719973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404724104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404762591
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329404763950
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329404767484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329404787234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404793079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404794859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1329404794873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329404795603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329404801737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404802986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404817118
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329404819886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329404822511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404834253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404845705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404855424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404864673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404864713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404867079
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329404874461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329404899915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404905220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404992487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329404997862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329405011597
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329405015250
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329405045065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329405080723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329405083203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329405084412
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329405086675
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329405091031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329405127087
