what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410354507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410355677
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329410356628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410359833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410383453
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410385389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410391213
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329410392605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410396087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410424071
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410425798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410437866
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329410440281
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410442984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410444189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410463040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410466547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410486109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410488342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410515195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410518834
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329410520619
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329410525123
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410527081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410529734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410533134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410555995
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410558907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329410560459
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410563082
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329410564532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329410565086
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410570492
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410571805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410572682
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329410574418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410587398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410647727
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410649813
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410651454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410652518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410699276
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410703088
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410705816
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410706951
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410710148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410711870
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329410714033
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410715138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410720461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329410732176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329410732609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410733430
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410735701
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410739972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329410740215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329410740641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410741309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410742839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410788987
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329410790704
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329410792224
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329410794160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329410798586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410803356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410830001
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329410835105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410841778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410852496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1329410852510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1329410852510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410854116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410864206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410868488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410875217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329410876535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329411321766
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1329411330147
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329411334489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329411335380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329411810987
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329411811004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329411815787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329414002394
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1329414007611
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329414009286
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329414014217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329414031177
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329414032882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329414039424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329414091090
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329414096425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329414102179
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329414107904
