what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327783713707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327783715424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327783747192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327783751266
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327783815115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327783841820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327783853623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327783878819
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327783881847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327783886780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327783975288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327783975537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784024474
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327784024505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327784049326
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327784050747
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327784059421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327784060872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327784063618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327784064086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784066831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784068937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327784076347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784090076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784110160
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327784111470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784126166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784133468
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327784136839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327784150348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327784152595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327784159008
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327784160693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784181353
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784203533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327784206983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784208483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327784279027
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327784281181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1327784307844
